Transaction_ID,Sale_Date,Region,Product_Division,Product_Name,Units_Sold,Unit_Price_USD,Total_Revenue_USD
1,2022-01-01,India,Musical Instruments,MT-15,14,14052.52,196735.28
2,2022-01-02,Japan,Musical Instruments,R15,3,5477.9,16433.7
3,2022-01-03,Asia-Pacific,Musical Instruments,AV Receiver,4,17803.42,71213.68
4,2022-01-04,Japan,Audio Equipment,MT-15,12,7952.0,95424.0
5,2022-01-05,Japan,Musical Instruments,R15,9,12921.04,116289.36
6,2022-01-06,Japan,Audio Equipment,R15,14,3511.09,49155.26
7,2022-01-07,Europe,Marine Products,R15,8,7716.52,61732.16
8,2022-01-08,Asia-Pacific,Audio Equipment,MT-15,11,5603.79,61641.69
9,2022-01-09,North America,Musical Instruments,Piano,13,13855.53,180121.89
10,2022-01-10,India,Marine Products,Outboard Motor,1,7185.58,7185.58
11,2022-01-11,North America,Audio Equipment,R15,14,5537.12,77519.68
12,2022-01-12,Japan,Motorcycles,Piano,3,9536.32,28608.96
13,2022-01-13,Asia-Pacific,Audio Equipment,Keyboard,1,12689.08,12689.08
14,2022-01-14,India,Musical Instruments,Keyboard,14,7331.6,102642.4
15,2022-01-15,North America,Motorcycles,Piano,6,3600.68,21604.08
16,2022-01-16,Japan,Musical Instruments,FZ-S,3,14536.62,43609.86
17,2022-01-17,Asia-Pacific,Motorcycles,MT-15,9,17912.05,161208.45
18,2022-01-18,Asia-Pacific,Motorcycles,Keyboard,4,11771.67,47086.68
19,2022-01-19,Europe,Audio Equipment,MT-15,10,12257.69,122576.9
20,2022-01-20,Asia-Pacific,Musical Instruments,R15,14,3747.51,52465.14
21,2022-01-21,Asia-Pacific,Musical Instruments,Keyboard,7,5909.53,41366.71
22,2022-01-22,Japan,Motorcycles,Outboard Motor,8,14054.29,112434.32
23,2022-01-23,India,Motorcycles,FZ-S,12,10342.95,124115.4
24,2022-01-24,North America,Audio Equipment,Guitar,10,1694.93,16949.3
25,2022-01-25,North America,Motorcycles,Piano,14,17059.91,238838.74
26,2022-01-26,Japan,Motorcycles,Piano,1,12910.49,12910.49
27,2022-01-27,Asia-Pacific,Audio Equipment,MT-15,11,896.5,9861.5
28,2022-01-28,North America,Motorcycles,MT-15,13,15570.3,202413.9
29,2022-01-29,Japan,Musical Instruments,Piano,14,1020.73,14290.22
30,2022-01-30,Japan,Marine Products,MT-15,13,3937.39,51186.07
31,2022-01-31,North America,Motorcycles,Outboard Motor,10,7914.63,79146.3
32,2022-02-01,Europe,Audio Equipment,Piano,12,1903.89,22846.68
33,2022-02-02,Japan,Motorcycles,MT-15,5,16962.64,84813.2
34,2022-02-03,Japan,Marine Products,MT-15,7,11706.77,81947.39
35,2022-02-04,Europe,Musical Instruments,MT-15,7,15954.61,111682.27
36,2022-02-05,India,Marine Products,MT-15,10,9999.22,99992.2
37,2022-02-06,Asia-Pacific,Audio Equipment,R15,8,1099.72,8797.76
38,2022-02-07,Japan,Musical Instruments,Outboard Motor,13,848.28,11027.64
39,2022-02-08,North America,Motorcycles,Outboard Motor,9,262.57,2363.13
40,2022-02-09,Asia-Pacific,Marine Products,Outboard Motor,3,9029.26,27087.78
41,2022-02-10,North America,Audio Equipment,Piano,6,15645.46,93872.76
42,2022-02-11,Asia-Pacific,Musical Instruments,MT-15,13,10919.29,141950.77
43,2022-02-12,India,Marine Products,Guitar,10,17419.02,174190.2
44,2022-02-13,Japan,Motorcycles,Piano,14,15673.23,219425.22
45,2022-02-14,Japan,Audio Equipment,AV Receiver,1,5621.49,5621.49
46,2022-02-15,Europe,Musical Instruments,Piano,14,3887.3,54422.2
47,2022-02-16,India,Marine Products,Keyboard,6,5367.64,32205.84
48,2022-02-17,Europe,Motorcycles,AV Receiver,12,3469.85,41638.2
49,2022-02-18,Asia-Pacific,Audio Equipment,Outboard Motor,1,16758.66,16758.66
50,2022-02-19,Asia-Pacific,Marine Products,Keyboard,7,5545.97,38821.79
